zone,scheduled_mean_mw,scheduled_sum_mwh,physical_mean_mw,physical_sum_mwh,load_sum_mwh,generation_sum_mwh,netpos_mean_delta_mw,netpos_sum_delta_mwh,generation_minus_load_mwh
AT,1448.5259112780814,12723851.604666667,879.6024447859745,7726427.875,58797416.0,2323683.125,-568.9234664921069,-4997423.729666667,-56473732.875
BE,1666.64266327034,14639789.154166667,1716.4208077185792,15077040.375,80965447.375,73863228.5,49.77814444823912,437251.2208333332,-7102218.875
BG,,,,,36764423.0,36702222.5,,,-62200.5
CH,323.7591419911202,2843900.30325,905.8243823998179,7956761.375,59622775.5,53199066.0,582.0652404086977,5112861.07175,-6423709.5
CZ,-248.91918307908315,-2186506.1041666665,325.5725609061931,2859829.375,60918319.625,69001774.625,574.4917439852762,5046335.479166666,8083455.0
DE_LU,2730.053419617107,23980789.237916667,3281.837744763206,28827662.75,470367857.25,265099009.3333333,551.784325146099,4846873.512083333,-205268847.9166667
DK_1,-558.567281420765,-4906455.0,163.16259676684882,1433220.25,22583280.5,23847154.5,721.7298781876138,6339675.25,1263874.0
DK_2,39.902925774134786,350507.3,409.36540869763206,3595865.75,14194619.0,10656240.5,369.4624829234973,3245358.45,-3538378.5
EE,,,,,7952422.5,4934242.5,,,-3018180.0
ES,,,,,232267823.5,251248102.8,,,18980279.300000012
FR,-4168.121988843352,-36612783.55,-5089.810365437159,-44708894.25,429660395.25,529413336.25,-921.6883765938073,-8096110.700000003,99752941.0
HU,,,,,43363841.25,32320325.75,,,-11043515.5
IT,,,,,279055032.5,231836263.0,,,-47218769.5
LT,,,,,12140734.25,7877429.75,,,-4263304.5
LV,,,,,6979349.0,5903039.0,,,-1076310.0
NL,-538.1364293981482,-4726990.395833333,-283.68129553734065,-2491856.5,115035349.75,5524601.625,254.4551338608075,2235133.895833333,-109510748.125
NO_2,-699.96066712204,-6148454.5,-1723.9998434653917,-15143614.625,36075665.0,55396295.0,-1024.0391763433518,-8995160.125,19320630.0
PL,539.5543431238615,4739445.35,760.7481358151184,6682411.625,163556464.5,158462246.375,221.19379269125693,1942966.2750000004,-5094218.125
RO,,,,,54297996.708333336,51151536.75,,,-3146459.958333336
SE_4,-534.7328551912568,-4697093.4,-1345.042577413479,-11814854.0,22047123.5,9180442.5,-810.3097222222221,-7117760.6,-12866681.0
SI,,,,,12410289.0,15270283.0,,,2859994.0
SK,,,,,25625650.0,30103804.0,,,4478154.0
